,Unnamed: 0,key,prefix,number,suffix,title,description,minimum credits,maximum credits,other,credit_category,text,cluster
621,621,AE 454,AE,454,,"Advanced Heating, Ventilating, and Air Conditioning","Engineering design and performance analysis procedures for complex commercial building systems, including energy conservation techniques; design project.",3,3,Prerequisite:  A E  310,Standard,"Advanced Heating, Ventilating, and Air Conditioning Engineering design and performance analysis procedures for complex commercial building systems, including energy conservation techniques; design project.",4
622,622,AE 455,AE,455,,"Advanced Heating, Ventilating, and Air Conditioning System Design",Design of several different systems for a course project building; control strategy; economic comparisons using life-cycle cost techniques.,3,3,Prerequisite:  A E  454,Standard,"Advanced Heating, Ventilating, and Air Conditioning System Design Design of several different systems for a course project building; control strategy; economic comparisons using life-cycle cost techniques.",4
623,623,AE 456,AE,456,,Solar Energy Building System Design,"Solar radiation, collectors, and thermal storage; design and analysis of a heating system using system-simulation computer program.",3,3,Prerequisite:  seventh-semester standing in Engineering,Standard,"Solar Energy Building System Design Solar radiation, collectors, and thermal storage; design and analysis of a heating system using system-simulation computer program.",4
624,624,AE 457,AE,457,,HVAC Control Systems,"Theory of automatic control.  HVAC control applications.  Control system components, control loops, development and documentation of control logic, control commissioning.  AE 457 HVAC Control Systems (3) The objective of the course is to develop the knowledge and skills necessary to understand, design, document, and diagnose problems in HVAC control systems. The course builds on knowledge of HVAC system function and design obtained in prior courses in the curriculum and prepares students for advanced design courses and the capstone project. The course begins with an introduction to concepts and terminology of automatic control, followed by detailed study of control system components: sensors, controlled devices, and controllers. Understanding of these fundamentals is then applied to the development and documentation of controls for common HVAC systems and the commissioning of control systems. Relevant standard and guideline documents are referenced as necessary.",3,3,Prerequisite:  A E  454,Standard,"HVAC Control Systems Theory of automatic control.  HVAC control applications.  Control system components, control loops, development and documentation of control logic, control commissioning.  AE 457 HVAC Control Systems (3) The objective of the course is to develop the knowledge and skills necessary to understand, design, document, and diagnose problems in HVAC control systems. The course builds on knowledge of HVAC system function and design obtained in prior courses in the curriculum and prepares students for advanced design courses and the capstone project. The course begins with an introduction to concepts and terminology of automatic control, followed by detailed study of control system components: sensors, controlled devices, and controllers. Understanding of these fundamentals is then applied to the development and documentation of controls for common HVAC systems and the commissioning of control systems. Relevant standard and guideline documents are referenced as necessary.",4
625,625,AE 458,AE,458,,Advanced Architectural Acoustics and Noise Control,Advanced consideration of noise control in buildings; ventilating system noise and vibration; acoustic design variables.,3,3,Prerequisite:  A E  309,Standard,Advanced Architectural Acoustics and Noise Control Advanced consideration of noise control in buildings; ventilating system noise and vibration; acoustic design variables.,4
626,626,AE 459,AE,459,,Measurement Science for High Performance Building Systems,"The course Measurement Science for High Performance Building Systems is meant to provide students hands-on experience of measuring building energy performance, thermal comfort, and indoor air quality. Students will learn standardized test methods and instrumentation for field investigation of building system performance. Using the measurement data from real buildings (both commercial and residential), students will be able to critically evaluate performances of building HVAC system, building envelope, and environmental quality in occupied spaces. Students will also learn how to renovate building systems based on field monitoring data. This course provides a foundation for engineering students for design of net-zero energy and high performance buildings that address energy saving, occupant comfort, productivity, and health.",3,3,Prerequisites: AE 310 and AE 454,Standard,"Measurement Science for High Performance Building Systems The course Measurement Science for High Performance Building Systems is meant to provide students hands-on experience of measuring building energy performance, thermal comfort, and indoor air quality. Students will learn standardized test methods and instrumentation for field investigation of building system performance. Using the measurement data from real buildings (both commercial and residential), students will be able to critically evaluate performances of building HVAC system, building envelope, and environmental quality in occupied spaces. Students will also learn how to renovate building systems based on field monitoring data. This course provides a foundation for engineering students for design of net-zero energy and high performance buildings that address energy saving, occupant comfort, productivity, and health.",4
627,627,AE 461,AE,461,,Architectural Illumination Systems & Design,"Lighting units & photometry; lighting equipment; design criteria, calculation methods; the design process; energy codes.  AE 461 Architectural Illumination Systems & Design (3) This course will prepare students to design basic lighting systems by providing them with background information and experience to do the following:1. Develop their knowledge of lamp, luminaire, and control types and evaluate their applicability to a particular design situation. 2. Establish fundamental design criteria for a variety of lighting applications. 3. Conduct appropriate and accurate analyses of lighting systems to assess system performance and evaluate its ability to meet design criteria. 4. Implement a completed design by specifying all of the components of the system and providing an appropriate system layout.This is the first full-semester lighting course that students receive in the Architectural Engineering Department's Lighting/Electrical Option.",3,3,Prerequisite:  A E  311,Standard,"Architectural Illumination Systems & Design Lighting units & photometry; lighting equipment; design criteria, calculation methods; the design process; energy codes.  AE 461 Architectural Illumination Systems & Design (3) This course will prepare students to design basic lighting systems by providing them with background information and experience to do the following:1. Develop their knowledge of lamp, luminaire, and control types and evaluate their applicability to a particular design situation. 2. Establish fundamental design criteria for a variety of lighting applications. 3. Conduct appropriate and accurate analyses of lighting systems to assess system performance and evaluate its ability to meet design criteria. 4. Implement a completed design by specifying all of the components of the system and providing an appropriate system layout.This is the first full-semester lighting course that students receive in the Architectural Engineering Department's Lighting/Electrical Option.",4
628,628,AE 462,AE,462,,Architectural Lighting Controls,"AE 462 is designed for students who wish to gain a more thorough understanding of architectural lighting controls and integration of controls with other building systems. This course examines how sustainability, human needs, costs, psychology, codes, corporate branding, and more all overlap to drive design decisions. It builds upon a fundamental understanding of the architectural lighting design process to develop a student's awareness of control issues. Topics include control philosophy, control topologies, control componentry, design documentation, code evaluation, and advanced control logic. The course investigates the methodology and processes behind basic control systems to modern data driven IoT (Internet of Things) solutions at the cutting edge of technology.",3,3,,Standard,"Architectural Lighting Controls AE 462 is designed for students who wish to gain a more thorough understanding of architectural lighting controls and integration of controls with other building systems. This course examines how sustainability, human needs, costs, psychology, codes, corporate branding, and more all overlap to drive design decisions. It builds upon a fundamental understanding of the architectural lighting design process to develop a student's awareness of control issues. Topics include control philosophy, control topologies, control componentry, design documentation, code evaluation, and advanced control logic. The course investigates the methodology and processes behind basic control systems to modern data driven IoT (Internet of Things) solutions at the cutting edge of technology.",4
629,629,AE 463,AE,463,,Daylight Analysis of Roman Architecture,"Solar geometry, building orientation and form, daylight design methods, characterization of interior and exterior lighting conditions. Offered in Rome. Analysis of Roman architecture from the perspective of daylight. Topics include solar geometry; building orientation and form; daylight design methods including toplighting and sidelighting strategies; illuminance meters; characterization of interior and exterior lighting conditions; site visits. Course includes development of a software tool to compute solar geometry and daylight availability for any location on the globe and for clear, overcast, and cloudy sky conditions. The software tool will also run in reverse, providing time of day and year when the sun is in a desired position for any latitude and longitude. Offered on location in Rome.",3,3,"Prerequisite: ARCH 130A, ARCH 202",Standard,"Daylight Analysis of Roman Architecture Solar geometry, building orientation and form, daylight design methods, characterization of interior and exterior lighting conditions. Offered in Rome. Analysis of Roman architecture from the perspective of daylight. Topics include solar geometry; building orientation and form; daylight design methods including toplighting and sidelighting strategies; illuminance meters; characterization of interior and exterior lighting conditions; site visits. Course includes development of a software tool to compute solar geometry and daylight availability for any location on the globe and for clear, overcast, and cloudy sky conditions. The software tool will also run in reverse, providing time of day and year when the sun is in a desired position for any latitude and longitude. Offered on location in Rome.",4
630,630,AE 464,AE,464,,Advanced Architectural Illumination Systems & Design,"Flux transfer theory; advanced lighting and control systems; emergency lighting; daylighting; visual performance issues; psychological aspects of lighting.  AE 464 Advanced Architectural Illumination Systems & Design (3) This is the final undergraduate architectural lighting course in the Lighting/Electrical Systems Option. The course focuses on advanced topics related to lighting design such as luminous flux transfer and its application to lighting analysis procedures, advanced issues in photometry, advanced control systems, and advanced topics in lighting design. The light design topics include the psychological aspects of lighting, and design for complex spaces such as museums, stores, and video conferencing.The course includes a weekly hands-on practicum experience, homework, exams and a design project.",3,3,Concurrent: AE 461,Standard,"Advanced Architectural Illumination Systems & Design Flux transfer theory; advanced lighting and control systems; emergency lighting; daylighting; visual performance issues; psychological aspects of lighting.  AE 464 Advanced Architectural Illumination Systems & Design (3) This is the final undergraduate architectural lighting course in the Lighting/Electrical Systems Option. The course focuses on advanced topics related to lighting design such as luminous flux transfer and its application to lighting analysis procedures, advanced issues in photometry, advanced control systems, and advanced topics in lighting design. The light design topics include the psychological aspects of lighting, and design for complex spaces such as museums, stores, and video conferencing.The course includes a weekly hands-on practicum experience, homework, exams and a design project.",4
631,631,AE 466,AE,466,,Computer Aided Lighting Design,"Design and analysis for outdoor area; floodlighting; and interior applications, including design criteria; economic analysis; modeling algorithms; and visualization.  AE 466 Computer Aided Lighting Design (3) The goal of this course is to cultivate an understanding of good lighting design practice through a series of design and analysis problems. Course topics include design criteria, design practice, and the application of lighting hardware and analysis procedures for outdoor area lighting, economic analysis of lighting systems, interior lighting design and lighting system visualization.Commercially available computer software is applied to approximately seven design projects, which students present in either PowerPoint or submit in a short report format. Students, faculty and outside professionals critique the project solutions. The critiques enhance the learning experience for all students through the evaluation of different lighting solutions applied to the same design problem.",3,3,Prerequisite: AE 461,Standard,"Computer Aided Lighting Design Design and analysis for outdoor area; floodlighting; and interior applications, including design criteria; economic analysis; modeling algorithms; and visualization.  AE 466 Computer Aided Lighting Design (3) The goal of this course is to cultivate an understanding of good lighting design practice through a series of design and analysis problems. Course topics include design criteria, design practice, and the application of lighting hardware and analysis procedures for outdoor area lighting, economic analysis of lighting systems, interior lighting design and lighting system visualization.Commercially available computer software is applied to approximately seven design projects, which students present in either PowerPoint or submit in a short report format. Students, faculty and outside professionals critique the project solutions. The critiques enhance the learning experience for all students through the evaluation of different lighting solutions applied to the same design problem.",4
632,632,AE 467,AE,467,,Advanced Building Electrical System Design,Design of electrical systems for commercial and industrial facilities emphasizing design practice and integration with codes and standards.,3,3,"Prerequisite:  A E  311 , E E  211",Standard,Advanced Building Electrical System Design Design of electrical systems for commercial and industrial facilities emphasizing design practice and integration with codes and standards.,4
633,633,AE 468,AE,468,,Advanced Building Electrical and Communication Systems,"Special Building Electrical and Communication Systems is an elective course within the architectural engineering program. It addresses specialized components and analysis of building electrical systems, cost and availability of electrical energy, and power quality. Students will also develop an a more in-depth understanding of alternative electrical sources, the National Electric Code, advanced design issues of electrical systems, as well as other electrical and building communication issues. In addition, part of the course will focus on the fundamentals of special systems typically included within the electrical discipline scope of work such as fire alarm, access control, surveillance, voice, video and data systems. Upon completion of this course, students will be able to explain the fundamentals of special electrical and communication systems within a building.",3,3,Prerequisite: AE 467,Standard,"Advanced Building Electrical and Communication Systems Special Building Electrical and Communication Systems is an elective course within the architectural engineering program. It addresses specialized components and analysis of building electrical systems, cost and availability of electrical energy, and power quality. Students will also develop an a more in-depth understanding of alternative electrical sources, the National Electric Code, advanced design issues of electrical systems, as well as other electrical and building communication issues. In addition, part of the course will focus on the fundamentals of special systems typically included within the electrical discipline scope of work such as fire alarm, access control, surveillance, voice, video and data systems. Upon completion of this course, students will be able to explain the fundamentals of special electrical and communication systems within a building.",4
634,634,AE 469,AE,469,,Photovoltaic Systems Design and Construction,"Criteria and analysis methods pertaining to the design and construction of photovoltaic (PV) systems and their integration with buildings.  AE 469 Photovoltaic Systems Design and Construction (3) This course provides students with a working understanding of the design and construction of photovoltaic (PV) systems and their applications in buildings, and is intended for students in Engineering and Energy Engineering. The course provides an overview of PV systems and common applications in residential and commercial buildings including the determination of solar irradiance and insolation based on latitude and climate as well as site survey and assessment methods for the positioning of PV systems. Technical topics include solar module components, DC-AC power inversion, energy storage systems, and system sizing and design. The integration of PV systems with building electrical and mechanical systems, including discussions of the pertinent building codes, utility interconnection, and the economic analysis of PV systems, is also included in this course. Upon the completion of the course, students will be able to calculate and account for the factors affecting the performance of PV systems in various climates and conditions, distinguish the features and performance variables of solar modules and inverters in the design of PV systems, calculate string sizing and inverter matching variables in the design of PV systems, communicate the critical design features of safe and efficient PV system integration with buildings and utilities, evaluate and quantify the factors affecting the successful installation and performance of PV systems in variable settings, and will develop inquiry skills needed to assess new products entering the solar energy marketplace. In addition to understanding the key issues with system design, students will be able to utilize this understanding to choose components properly and to design a basic grid-tied system for a chosen building. Students will also be able to conduct an economic analysis of PV systems in the context of residential and commercial building construction.",3,3,Prerequisite:  E E  210 or E E  211,Standard,"Photovoltaic Systems Design and Construction Criteria and analysis methods pertaining to the design and construction of photovoltaic (PV) systems and their integration with buildings.  AE 469 Photovoltaic Systems Design and Construction (3) This course provides students with a working understanding of the design and construction of photovoltaic (PV) systems and their applications in buildings, and is intended for students in Engineering and Energy Engineering. The course provides an overview of PV systems and common applications in residential and commercial buildings including the determination of solar irradiance and insolation based on latitude and climate as well as site survey and assessment methods for the positioning of PV systems. Technical topics include solar module components, DC-AC power inversion, energy storage systems, and system sizing and design. The integration of PV systems with building electrical and mechanical systems, including discussions of the pertinent building codes, utility interconnection, and the economic analysis of PV systems, is also included in this course. Upon the completion of the course, students will be able to calculate and account for the factors affecting the performance of PV systems in various climates and conditions, distinguish the features and performance variables of solar modules and inverters in the design of PV systems, calculate string sizing and inverter matching variables in the design of PV systems, communicate the critical design features of safe and efficient PV system integration with buildings and utilities, evaluate and quantify the factors affecting the successful installation and performance of PV systems in variable settings, and will develop inquiry skills needed to assess new products entering the solar energy marketplace. In addition to understanding the key issues with system design, students will be able to utilize this understanding to choose components properly and to design a basic grid-tied system for a chosen building. Students will also be able to conduct an economic analysis of PV systems in the context of residential and commercial building construction.",4
635,635,AE 470,AE,470,,Residential Building Design and Construction,"Managerial aspects; architectural and code considerations; cost estimating, design, and construction of structural, plumbing, HVAC, and electrical systems.",3,3,Prerequisite: AE 372; CE 332,Standard,"Residential Building Design and Construction Managerial aspects; architectural and code considerations; cost estimating, design, and construction of structural, plumbing, HVAC, and electrical systems.",4
636,636,AE 471,AE,471,,CONSTRUCTION MANAGEMENT OF RESIDENTIAL BUILDING PROJECTS,"Understanding residential project planning, management, contracts, budget, administration, and execution; discussion of the life cycle of a residential construction business. AE 471 Construction management of Residential Building Projects (3) The course Construction Management of Residential Building Projects is designed to introduce the students to a general understanding of the construction industry, basic principles of project planning and management, contracts, budget and project administration and execution as applied to residential building construction. The content of the course is intended to provide the student with the knowledge, tools, and understanding of processes and tasks necessary to manage residential building projects to completion successfully and within the framework of quality control, code compliance, and safety, while minimizing risks. The scope of the residential construction considered in this course is primarily focused on single-family dwellings and multi-family dwellings. Furthermore, most of the topics covered can be applicable to new construction, remodeling, as well as repair projects.",3,3,Prerequisites: ( AE 372; CE 332 ),Standard,"CONSTRUCTION MANAGEMENT OF RESIDENTIAL BUILDING PROJECTS Understanding residential project planning, management, contracts, budget, administration, and execution; discussion of the life cycle of a residential construction business. AE 471 Construction management of Residential Building Projects (3) The course Construction Management of Residential Building Projects is designed to introduce the students to a general understanding of the construction industry, basic principles of project planning and management, contracts, budget and project administration and execution as applied to residential building construction. The content of the course is intended to provide the student with the knowledge, tools, and understanding of processes and tasks necessary to manage residential building projects to completion successfully and within the framework of quality control, code compliance, and safety, while minimizing risks. The scope of the residential construction considered in this course is primarily focused on single-family dwellings and multi-family dwellings. Furthermore, most of the topics covered can be applicable to new construction, remodeling, as well as repair projects.",3
637,637,AE 472,AE,472,,Building Construction Planning and Management,"The objective of AE 472 is to introduce students in the construction management option of the Architectural Engineering program to the process in which building construction contractors acquire building projects, and the range of services typically provided on these projects. Upon completion of this course, students will have a working understanding of the preconstruction process and methods of acquiring negotiated work in building construction. They will be capable of assembling estimates, schedules, cash-flow curves, and site plans for building projects, and will have a working knowledge of competitive presentation strategies and develop professional presentation skills.   The content of the course centers upon the process in which companies plan for and acquire projects as construction managers and general contractors. Specific topics include schematic estimating and scheduling, design coordination of structural, architectural, and mechanical systems, value engineering processes, and site planning. The financial aspects of construction work are also presented, including project financing, cash flow, and accounting. A significant portion of the course is also devoted to the development of strategic and competitive business presentation, including risk assessment, fee structure, team dynamics, and technical presentation skills.   The class relies heavily upon the application of all content by students in the context of a team project. The project involves the distribution of a ""Request for Proposal"" for which students prepare a competitive proposal for an actual building construction project planned on the Penn State University Campus. Class activities include the presentation of key issues followed by in-class or independent exercises to reinforce themes and strategies to be applied in the project proposal. Students are assessed on their performance on discussion quizzes, independent exercises, class participation, a team presentation, and exams.",3,3,Prerequisite: AE 475,Standard,"Building Construction Planning and Management The objective of AE 472 is to introduce students in the construction management option of the Architectural Engineering program to the process in which building construction contractors acquire building projects, and the range of services typically provided on these projects. Upon completion of this course, students will have a working understanding of the preconstruction process and methods of acquiring negotiated work in building construction. They will be capable of assembling estimates, schedules, cash-flow curves, and site plans for building projects, and will have a working knowledge of competitive presentation strategies and develop professional presentation skills.   The content of the course centers upon the process in which companies plan for and acquire projects as construction managers and general contractors. Specific topics include schematic estimating and scheduling, design coordination of structural, architectural, and mechanical systems, value engineering processes, and site planning. The financial aspects of construction work are also presented, including project financing, cash flow, and accounting. A significant portion of the course is also devoted to the development of strategic and competitive business presentation, including risk assessment, fee structure, team dynamics, and technical presentation skills.   The class relies heavily upon the application of all content by students in the context of a team project. The project involves the distribution of a ""Request for Proposal"" for which students prepare a competitive proposal for an actual building construction project planned on the Penn State University Campus. Class activities include the presentation of key issues followed by in-class or independent exercises to reinforce themes and strategies to be applied in the project proposal. Students are assessed on their performance on discussion quizzes, independent exercises, class participation, a team presentation, and exams.",3
638,638,AE 473,AE,473,,Building Construction Management and Control,"Building construction project planning; construction cost, schedule, quality and safety control systems; project cost accounting; change management; construction company management. AE 473 Building Construction Management and Control (3) The goals of this course are for students to learn how to perform detailed construction planning, identify potential problems during construction, and manage changes throughout a construction project. By completing this course, students will better understand the role of the general contractor/construction manager in analyzing the construction aspects of a building project and designing the construction engineering and management systems to effectively execute the project.The main course objectives include learning how to perform and implement detailed planning for a construction project together with monitoring the project progress and performance including detailed cost control. Other course objectives emphasize gaining knowledge of the key decisions that construction executives make when managing a construction company and identifying potential projects to pursue. Students will also be introduced to the management of changes which occur throughout a project and how to negotiate changes. Finally, ethical standards for a professional engineer and their impact on decisions within the construction industry are important course learning objectives.The course is taught via a combination of teaching methods that rely on problem based learning through both in and out of class activities; lectures by faculty and industry experts; project case studies; student presentations; and team and individual assignments. Completion of AE 472 is a prerequisite for this course.",3,3,Prerequisite:  A E  472,Standard,"Building Construction Management and Control Building construction project planning; construction cost, schedule, quality and safety control systems; project cost accounting; change management; construction company management. AE 473 Building Construction Management and Control (3) The goals of this course are for students to learn how to perform detailed construction planning, identify potential problems during construction, and manage changes throughout a construction project. By completing this course, students will better understand the role of the general contractor/construction manager in analyzing the construction aspects of a building project and designing the construction engineering and management systems to effectively execute the project.The main course objectives include learning how to perform and implement detailed planning for a construction project together with monitoring the project progress and performance including detailed cost control. Other course objectives emphasize gaining knowledge of the key decisions that construction executives make when managing a construction company and identifying potential projects to pursue. Students will also be introduced to the management of changes which occur throughout a project and how to negotiate changes. Finally, ethical standards for a professional engineer and their impact on decisions within the construction industry are important course learning objectives.The course is taught via a combination of teaching methods that rely on problem based learning through both in and out of class activities; lectures by faculty and industry experts; project case studies; student presentations; and team and individual assignments. Completion of AE 472 is a prerequisite for this course.",3
639,639,AE 475,AE,475,,Building Construction Engineering I,"Project planning, supervision, inspection of architectural and structural operations in major buildings; mobilization, coordination of trades; offsite testing and fabrication.",3,3,Prerequisite:  A E  372,Standard,"Building Construction Engineering I Project planning, supervision, inspection of architectural and structural operations in major buildings; mobilization, coordination of trades; offsite testing and fabrication.",1
640,640,AE 476,AE,476,,Building Construction Engineering II,"Construction of mechanical and electrical systems in major buildings; fire protection, sound control, elevatoring; trade coordination; manufacturers' developments; computer application.",3,3,Prerequisite: AE 475,Standard,"Building Construction Engineering II Construction of mechanical and electrical systems in major buildings; fire protection, sound control, elevatoring; trade coordination; manufacturers' developments; computer application.",4
641,641,AE 481W,AE,481,W,Comprehensive Architectural Engineering Senior Project I,"Building project selection and preparation of overall plan; preliminary investigation of building design and construction issues; creation of individual Capstone Project Electronic Portfolio (CPEP) and project proposal required.  AE 481 Comprehensive Architectural Engineering Senior Project I (4) The course sequence of AE 481 and AE 482 comprises the capstone engineering design program for Architectural Engineering students. AE 481 is taken by all undergraduate architectural engineering (A E) students and also serves as the writing intensive course requirement in A E. Based on an actual building project model, students will investigate the building, perform technical analysis, develop project criteria and prepare a written proposal for more detailed work to be accomplished in AE 482. Evaluation methods include but are not limited to written reports, verbal and written presentations, faculty consultations and development of a capstone project electronic portfolio (CPEP).",4,4,"Prerequisites: ARCH 441; ARCH 442, fifth-year architectural engineering standing in major area of emphasis",High,"Comprehensive Architectural Engineering Senior Project I Building project selection and preparation of overall plan; preliminary investigation of building design and construction issues; creation of individual Capstone Project Electronic Portfolio (CPEP) and project proposal required.  AE 481 Comprehensive Architectural Engineering Senior Project I (4) The course sequence of AE 481 and AE 482 comprises the capstone engineering design program for Architectural Engineering students. AE 481 is taken by all undergraduate architectural engineering (A E) students and also serves as the writing intensive course requirement in A E. Based on an actual building project model, students will investigate the building, perform technical analysis, develop project criteria and prepare a written proposal for more detailed work to be accomplished in AE 482. Evaluation methods include but are not limited to written reports, verbal and written presentations, faculty consultations and development of a capstone project electronic portfolio (CPEP).",3
642,642,AE 482,AE,482,,Comprehensive Architectural Engineering Senior Project II,"Continuation of AE 481 Engineering analysis of building systems; emphasis on analysis and design of building structural, mechanical, lighting/electrical, and construction related systems.  Final written report, web-based project portfolio and verbal presentation are required.  AE 482 Comprehensive Architectural Engineering Senior Project II (4) AE 482 is the second half of the capstone engineering design project for Architectural Engineering students. The course is taken by all undergraduate architectural engineering and serves as a direct follow up to AE 481. Students perform detailed option specific work in conjunction with individual proposals written in AE 481. Students are also required to demonstrate work in the breadth areas of architectural engineering. Evaluation methods include but are not limited to written reports, verbal and written assignments, faculty consultations, maintaining their capstone project electronic portfolio, a final comprehensive written report and a verbal presentation to a faculty jury.",4,4,Prerequisite:  A E  481W,High,"Comprehensive Architectural Engineering Senior Project II Continuation of AE 481 Engineering analysis of building systems; emphasis on analysis and design of building structural, mechanical, lighting/electrical, and construction related systems.  Final written report, web-based project portfolio and verbal presentation are required.  AE 482 Comprehensive Architectural Engineering Senior Project II (4) AE 482 is the second half of the capstone engineering design project for Architectural Engineering students. The course is taken by all undergraduate architectural engineering and serves as a direct follow up to AE 481. Students perform detailed option specific work in conjunction with individual proposals written in AE 481. Students are also required to demonstrate work in the breadth areas of architectural engineering. Evaluation methods include but are not limited to written reports, verbal and written assignments, faculty consultations, maintaining their capstone project electronic portfolio, a final comprehensive written report and a verbal presentation to a faculty jury.",4
643,643,AE 494M,AE,494,M,Senior Honors Thesis,"Comprehensive Architectural Engineering Senior Project development and planning with an honors thesis focus. In this course, an honors student in architectural engineering will work on a real-world building project which the student has selected and for which the student has obtained drawings and specifications, as well as the owner's permission to use this project as their undergraduate thesis project. Students enrolling in this course are required to complete the following: - Develop and initiate a plan for their undergraduate senior project in Architectural Engineering which will also serve as their Schreyer Honors College thesis. Through this thesis, the student demonstrates a command of relevant scholastic work and a personal contribution to that scholarship. - Secure an honors thesis adviser and meet with that person to select an in-depth and/or integration focus for their Honors Thesis work. The student then develops a formal proposal describing the focus area for the undergraduate senior project and honors thesis, outlining the analyses, investigations, and design elements of this work and the tools that will be employed. - Summarize the existing conditions present in this building project as it relates to their AE option, systems integration, and the honors thesis topic. - Conduct a thorough review of the relevant literature that has been published in the area that is the focus of the honors thesis, including details on the relevant building, construction, and energy codes that govern this work. - Commence work on the investigation, analysis, and design portion of the thesis, together with the general activities required of all AE students in their undergraduate capstone projects.",4,4,"Prerequisites: ARCH 441; ARCH 442, Fifth-year architectural engineering standing in major area of emphasis",High,"Senior Honors Thesis Comprehensive Architectural Engineering Senior Project development and planning with an honors thesis focus. In this course, an honors student in architectural engineering will work on a real-world building project which the student has selected and for which the student has obtained drawings and specifications, as well as the owner's permission to use this project as their undergraduate thesis project. Students enrolling in this course are required to complete the following: - Develop and initiate a plan for their undergraduate senior project in Architectural Engineering which will also serve as their Schreyer Honors College thesis. Through this thesis, the student demonstrates a command of relevant scholastic work and a personal contribution to that scholarship. - Secure an honors thesis adviser and meet with that person to select an in-depth and/or integration focus for their Honors Thesis work. The student then develops a formal proposal describing the focus area for the undergraduate senior project and honors thesis, outlining the analyses, investigations, and design elements of this work and the tools that will be employed. - Summarize the existing conditions present in this building project as it relates to their AE option, systems integration, and the honors thesis topic. - Conduct a thorough review of the relevant literature that has been published in the area that is the focus of the honors thesis, including details on the relevant building, construction, and energy codes that govern this work. - Commence work on the investigation, analysis, and design portion of the thesis, together with the general activities required of all AE students in their undergraduate capstone projects.",4
644,644,AE 496,AE,496,,Independent Studies,"Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",1,18,,Low,"Independent Studies Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",5
645,645,AE 497,AE,497,,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",1,9,,Low,"Special Topics Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",6
646,646,AE 498,AE,498,,Special Topics,"Formal courses given infrequently to explore, in-depth, a comparatively narrow subject which may be topical or of special interest.",1,9,,Low,"Special Topics Formal courses given infrequently to explore, in-depth, a comparatively narrow subject which may be topical or of special interest.",6
647,647,AE 498F,AE,498,F,Special Topics,"Formal courses given infrequently to explore, in-depth, a comparatively narrow subject which may be topical or of special interest.",1,9,,Low,"Special Topics Formal courses given infrequently to explore, in-depth, a comparatively narrow subject which may be topical or of special interest.",6
648,648,AET 101,AET,101,,Building Materials,Structural and architectural use of building materials and construction assemblies.,3,3,,Standard,Building Materials Structural and architectural use of building materials and construction assemblies.,1
649,649,AET 102,AET,102,,Methods of Construction,"Materials and methods of construction used in buildings, as expressed in drawings.",3,3,"Prerequisite:  AE T 101 , EG T 101 , EG T 102",Standard,"Methods of Construction Materials and methods of construction used in buildings, as expressed in drawings.",4
650,650,AET 103,AET,103,,Plumbing and Fire Protection,Layout of plumbing and fire protection in buildings to meet code and usage requirements.,3,3,Prerequisite:  or concurrent: AE T 102,Standard,Plumbing and Fire Protection Layout of plumbing and fire protection in buildings to meet code and usage requirements.,1
651,651,AET 113,AET,113,,Site Planning,"Energy conservation through optimum site utilization, contours, cut and fill calculations, storm drainage, spot grading, and finish grading.",2,2,,Low,"Site Planning Energy conservation through optimum site utilization, contours, cut and fill calculations, storm drainage, spot grading, and finish grading.",1
652,652,AET 121,AET,121,,Introduction to Building Environmental Systems,"Introduction to building environmental systems technology terminology, concepts, and the design process.",2,2,,Low,"Introduction to Building Environmental Systems Introduction to building environmental systems technology terminology, concepts, and the design process.",4
653,653,AET 204,AET,204,,"Heating, Ventilating, and Air Conditioning Layout",Fundamental calculations and layout of systems in buildings.,3,3,Prerequisite:  AE T 103 .  Prerequisite or concurrent: AE T 102,Standard,"Heating, Ventilating, and Air Conditioning Layout Fundamental calculations and layout of systems in buildings.",4
654,654,AET 206,AET,206,,Architectural Presentation,"Visual communication through architectural presentation drawings. Line, value, color, and composition.",2,2,Prerequisite:  E G  001 or E G  003,Low,"Architectural Presentation Visual communication through architectural presentation drawings. Line, value, color, and composition.",1
